scope,scenario_id,sg_level,metric,attempted_pair_union_count,finite_pair_count,mean_method,mean_reference,mean_difference,mean_relative_difference,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,wilcoxon_pvalue
scenario,S1_step_neg_006,A,freq_iae,30,30,0.8080198719316429,0.7566105303154081,0.051409341616234894,0.07467405659794615,0.045234601357135,0.10962327333196316,9.999000099990002e-05,1.0244548320770264e-07
scenario,S1_step_neg_006,B,freq_iae,30,30,0.8124959664700826,0.824586301755754,-0.012090335285671312,-0.00476675537537351,-0.035132165299592455,0.012511049808516996,1.0,0.001718590036034584
scenario,S1_step_neg_006,C,freq_iae,30,30,0.813915564874159,1.053261973296517,-0.23934640842235796,-0.21790212089982947,-0.24954142000829774,-0.1826417880924493,9.999000099990002e-05,1.30385160446167e-08
scenario,S1_step_neg_008,ALL,freq_iae,90,90,1.0595772824975118,0.9907100546277319,0.06886722786978,0.07000856839932455,0.06529423934414547,0.07460534485058985,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_neg_008,A,freq_iae,30,30,1.054815298547333,0.9743703120369333,0.08044498651039973,0.08316602607380062,0.07332345728601242,0.09149482407888156,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,B,freq_iae,30,30,1.0611076727764426,0.9928937074847322,0.06821396529171052,0.06874316161912493,0.0651530326337036,0.0719893715843488,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_neg_008,C,freq_iae,30,30,1.0628088761687604,1.0048661443615308,0.057942731807229794,0.05811651750504812,0.05019828624911601,0.06572061051482035,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_002,ALL,freq_iae,90,90,0.32142231821144845,0.720009481365054,-0.3985871631536056,-0.4548940653657132,-0.5100084895996988,-0.3964819442598748,9.999000099990002e-05,1.2330743120758458e-15
scenario,S1_step_pos_002,A,freq_iae,30,30,0.31872453231178866,0.361811781693147,-0.04308724938135837,-0.10008372780054454,-0.14818551474898062,-0.03245512621012543,9.999000099990002e-05,0.0001528710126876831
scenario,S1_step_pos_002,B,freq_iae,30,30,0.321431303209255,1.0142298056425252,-0.6927985024332701,-0.6830615528839955,-0.6852126188487264,-0.6808814004984499,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_002,C,freq_iae,30,30,0.3241111191133017,0.7839868567594901,-0.4598757376461885,-0.5815369154125999,-0.5982747952884857,-0.5640151683137309,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,ALL,freq_iae,90,90,0.567114800788941,0.8598684375232309,-0.2927536367342898,-0.27331167940305456,-0.3185501157759027,-0.22748846851843488,9.999000099990002e-05,4.297752085493305e-16
scenario,S1_step_pos_004,A,freq_iae,30,30,0.5615011183056348,0.5694784544485854,-0.007977336142950497,-0.014008143908929432,-0.017969806296493952,-0.00981989664714451,9.999000099990002e-05,2.348795533180237e-06
scenario,S1_step_pos_004,B,freq_iae,30,30,0.5689443950964304,1.1571891724151726,-0.588244777318742,-0.4859183568943936,-0.5327968310142474,-0.43763238099501167,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_004,C,freq_iae,30,30,0.5708988889647579,0.8529376857059343,-0.2820387967411767,-0.32000853740584073,-0.35039822201878135,-0.2818292591082826,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_006,ALL,freq_iae,90,90,0.8123320587773395,0.8728671795409356,-0.06053512076359603,-0.04877946455640182,-0.07640107246166573,-0.022111435412307104,0.00019998000199980003,0.7037683158367872
scenario,S1_step_pos_006,A,freq_iae,30,30,0.8084984510511535,0.7735312019040967,0.034967249147056616,0.04723416773874342,0.0331685622186943,0.06879289628098341,9.999000099990002e-05,5.587935447692871e-09
scenario,S1_step_pos_006,B,freq_iae,30,30,0.8134290953062348,0.8045420250296832,0.008887070276551596,0.011101893642295019,0.007657861402138748,0.014619137286941386,9.999000099990002e-05,1.6838312149047852e-06
scenario,S1_step_pos_006,C,freq_iae,30,30,0.8150686299746305,1.040528311689027,-0.2254596817143963,-0.20467445505024387,-0.240683872979112,-0.16549615468311318,9.999000099990002e-05,3.855675458908081e-07
scenario,S1_step_pos_008,ALL,freq_iae,90,90,1.0602700052635439,0.9898878121540479,0.07038219310949584,0.07156271717157323,0.06689803077193705,0.07611389377157232,9.999000099990002e-05,1.7437900167092118e-16
scenario,S1_step_pos_008,A,freq_iae,30,30,1.055395483277829,0.9700690531150573,0.08532643016277162,0.08828872715652368,0.08030755148194296,0.09449984353632838,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,B,freq_iae,30,30,1.0617895793908037,0.9930439203641007,0.0687456590267031,0.06924524392814292,0.06601308634000637,0.07253936044066937,9.999000099990002e-05,1.862645149230957e-09
scenario,S1_step_pos_008,C,freq_iae,30,30,1.0636249531219988,1.0065504629829858,0.05707449013901284,0.05715418043005308,0.04895162573773171,0.06558119750355394,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,ALL,freq_iae,90,90,1.0053785018179768,1.2546092826104855,-0.24923078079250902,-0.18139311913761683,-0.21084123522151196,-0.1499171370523706,9.999000099990002e-05,5.0610865650540974e-14
scenario,S2_sluggish_switch_050,A,freq_iae,30,30,0.9088494872532895,1.3029272947821624,-0.3940778075288727,-0.29774639288443067,-0.3194084838566709,-0.2781830432191699,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_050,B,freq_iae,30,30,0.9969359780704197,1.1559500851942528,-0.15901410712383343,-0.12782649219910117,-0.16129717315808664,-0.0974860785991787,9.999000099990002e-05,3.725290298461914e-09
scenario,S2_sluggish_switch_050,C,freq_iae,30,30,1.110350040130221,1.3049504678550419,-0.19460042772482072,-0.11860647232931863,-0.18082984461808865,-0.05222368525389087,0.00029997000299970003,7.056817412376404e-05
scenario,S2_sluggish_switch_060,ALL,freq_iae,90,90,1.0000810880004036,1.2546092826104855,-0.2545281946100823,-0.1861622551913104,-0.21460673782984255,-0.15588694578194387,9.999000099990002e-05,1.932101094735527e-14
scenario,S2_sluggish_switch_060,A,freq_iae,30,30,0.9070611184750443,1.3029272947821624,-0.39586617630711807,-0.29913984963580215,-0.3206601948279403,-0.2795721515395441,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,B,freq_iae,30,30,0.9893281585576503,1.1559500851942528,-0.1666219266366027,-0.13464128073569018,-0.1668319591918468,-0.10626617917437806,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_060,C,freq_iae,30,30,1.1038539869685158,1.3049504678550419,-0.20109648088652624,-0.12470563520243885,-0.1847650145450546,-0.06058014491078098,0.00029997000299970003,4.968419671058655e-05
scenario,S2_sluggish_switch_090,ALL,freq_iae,90,90,0.9041754328516125,1.1157830723743583,-0.2116076395227458,-0.17422998197254522,-0.19749166921074368,-0.14950654706315547,9.999000099990002e-05,1.0818297929329786e-15
scenario,S2_sluggish_switch_090,A,freq_iae,30,30,0.8766480657931697,1.1100302624903693,-0.23338219669719945,-0.1878943177426841,-0.23686288744388775,-0.12837309433841634,9.999000099990002e-05,3.1478703022003174e-07
scenario,S2_sluggish_switch_090,B,freq_iae,30,30,0.8962751488525494,1.0117930516203453,-0.11551790276779567,-0.11328960690033187,-0.124613968476798,-0.10120983988155442,9.999000099990002e-05,1.862645149230957e-09
scenario,S2_sluggish_switch_090,C,freq_iae,30,30,0.939603083909118,1.2255259030123602,-0.2859228191032423,-0.2215060212746197,-0.2562257868181221,-0.18425056295545858,9.999000099990002e-05,1.862645149230957e-09
scenario,S3_derated_coincident,ALL,freq_iae,90,90,1.7712527445768664,1.0008965114787143,0.7703562330981522,0.8331767045481615,0.6708428389256111,0.9998294880189069,9.999000099990002e-05,1.7487538472061865e-11
scenario,S3_derated_coincident,A,freq_iae,30,30,1.7000759281639062,0.8490094422265854,0.8510664859373208,1.0034277302137768,0.6856159595572273,1.3343949510627118,9.999000099990002e-05,1.862645149230957e-09
scenario,S3_derated_coincident,B,freq_iae,30,30,2.2890573566434713,1.000065296723161,1.2889920599203106,1.3482053995438001,1.183759346569423,1.5056039765944882,9.999000099990002e-05,1.862645149230957e-09
scenario,S3_derated_coincident,C,freq_iae,30,30,1.3246249489232218,1.1536147954863964,0.17101015343682552,0.14789698388690706,0.015011721009421282,0.28670066425662305,0.0430956904309569,0.23665234446525574
scenario,S4_unavailable_coincident,ALL,freq_iae,90,90,1.0747777279728274,1.592967337782731,-0.5181896098099035,-0.32539665744698154,-0.345662885560245,-0.3049524484607635,9.999000099990002e-05,1.7437900167092118e-16
scenario,S4_unavailable_coincident,A,freq_iae,30,30,0.8812319157384089,1.3757069537510567,-0.49447503801264786,-0.35801302072295804,-0.3659989348632583,-0.34408469205364944,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,B,freq_iae,30,30,0.9777693340119328,1.6500407493706564,-0.6722714153587235,-0.39822489036980807,-0.425880210489061,-0.36534080429771154,9.999000099990002e-05,1.862645149230957e-09
scenario,S4_unavailable_coincident,C,freq_iae,30,30,1.3653319341681411,1.7531543102264797,-0.38782237605833914,-0.21995206124817834,-0.23009536997327204,-0.2042725846983351,9.999000099990002e-05,1.862645149230957e-09
scenario,S5_multi_switch_stochastic,ALL,freq_iae,90,90,0.9244209395436154,0.5855328628692729,0.33888807667434234,0.6368102456141571,0.5719348827245687,0.7026629794923868,9.999000099990002e-05,5.072620849113068e-16
scenario,S5_multi_switch_stochastic,A,freq_iae,30,30,0.9589373773538062,0.6123742602110733,0.34656311714273286,0.658698863915573,0.531043128039277,0.7835724058127636,9.999000099990002e-05,6.146728992462158e-08
scenario,S5_multi_switch_stochastic,B,freq_iae,30,30,0.9362278856585842,0.5714451526684775,0.3647827329901067,0.6805919231822346,0.5725450612650628,0.7902943360358322,9.999000099990002e-05,1.862645149230957e-09
