period_s,horizon_s,objective,relative_sg_penalty,load_pu,contract_status,high_status,first_bess_action_difference_pu,contract_first_bess_pu,high_first_bess_pu
4.0,24.0,sg_conserving_64,64.0,0.04,optimal_inaccurate,optimal_inaccurate,6.188038894489045e-08,0.037467719275745694,0.03746765739535675
4.0,24.0,sg_conserving_64,64.0,0.045,optimal_inaccurate,optimal_inaccurate,5.3506916751489e-08,0.04215123178258373,0.04215117827566698
4.0,24.0,sg_conserving_64,64.0,0.05,optimal,optimal_inaccurate,0.0015230598143929977,0.04531143363905684,0.04683449345344984
4.0,24.0,sg_conserving_64,64.0,0.055,optimal_inaccurate,optimal_inaccurate,0.005948079097820386,0.0463659181923062,0.05151791287594058
4.0,24.0,sg_conserving_64,64.0,0.06,optimal_inaccurate,optimal_inaccurate,0.009573883111112944,0.04736842199603969,0.05620127476497896
4.0,24.0,sg_conserving_64,64.0,0.065,optimal,optimal_inaccurate,0.013526489727782039,0.04736842106625342,0.060884725660128765
4.0,24.0,sg_conserving_64,64.0,0.07,optimal,optimal,0.01805022988634654,0.047368421069404934,0.06541865095575147
4.0,32.0,grid_service,1.0,0.0,optimal,optimal,1.2071307239772524e-09,6.43367301009209e-10,1.6682769672228678e-09
4.0,32.0,grid_service,1.0,0.005,optimal_inaccurate,optimal_inaccurate,1.025726708481136e-07,0.0014899014525143128,0.0014900040251851609
4.0,32.0,grid_service,1.0,0.01,optimal_inaccurate,optimal_inaccurate,3.859800186065132e-09,0.0029799757638081124,0.0029799740725344483
4.0,32.0,grid_service,1.0,0.015,optimal_inaccurate,optimal_inaccurate,3.60977575764726e-08,0.004469940137082761,0.004469976234840338
4.0,32.0,grid_service,1.0,0.02,optimal_inaccurate,optimal_inaccurate,1.561755439373133e-07,0.0059599218806031555,0.005959959613168189
4.0,32.0,grid_service,1.0,0.025,optimal_inaccurate,optimal_inaccurate,8.082169200649553e-08,0.007449941902437133,0.007449949684377387
4.0,32.0,grid_service,1.0,0.03,optimal_inaccurate,optimal_inaccurate,2.7239541171286685e-07,0.008940078599507328,0.008939806204095615
4.0,32.0,grid_service,1.0,0.035,optimal_inaccurate,optimal_inaccurate,2.3317705507772124e-08,0.010429862492844624,0.010429839175139117
4.0,32.0,grid_service,1.0,0.04,optimal_inaccurate,optimal_inaccurate,2.0019895325719406e-07,0.011919882444879178,0.011919682245925921
4.0,32.0,grid_service,1.0,0.045,optimal_inaccurate,optimal_inaccurate,3.8337799679669105e-08,0.01340988470638944,0.013409847600915086
4.0,32.0,grid_service,1.0,0.05,optimal_inaccurate,optimal,1.2754403566281325e-08,0.014899885453922282,0.014899892210440538
4.0,32.0,grid_service,1.0,0.055,optimal_inaccurate,optimal_inaccurate,9.037238999504149e-08,0.016389874362958884,0.01638995110464347
