scenario_id,method,plant,mechanism,sg_tension,period_s,condition,registered_domain,evaluation_status,capability_change_time_s,physical_success,fallback_calls,surplus_active_calls,controller_calls,excited_calls,excitation_fraction,request_span_pu,maximum_request_pu,reconstruction_scope
R5-V-A-037,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,known,SUSTAINABLE,EVALUATED,101.69378179303688,True,0,0,76,0,0.0,0.02622518614024691,0.026164435029305638,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-038,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,OOD,BRIDGE,EVALUATED,105.5844262408325,True,0,0,76,0,0.0,0.04503779955726737,0.044981699406563394,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-039,dcsv_cr_mpc,A_full_nonlinear,power_drop,high,4.0,known,SUSTAINABLE,EVALUATED,131.99070967067397,True,0,0,76,0,0.0,0.008772746165134378,0.008718834466857478,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-040,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,known,BRIDGE,EVALUATED,131.9251781860369,False,0,0,150,91,0.6066666666666667,0.051855130110662284,0.05178480716720327,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-041,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,known,BRIDGE,EVALUATED,116.66695400301163,True,0,0,151,24,0.15894039735099338,0.04578357415041624,0.045005285873567995,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-042,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,116.61747515049338,False,0,0,151,0,0.0,0.04063850376210765,0.040605492637993235,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-043,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,OOD,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,130.08142631713625,False,0,0,151,0,0.0,0.03911859567699652,0.03911068413323718,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-044,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,known,SUSTAINABLE,EVALUATED,121.92026745517771,True,0,0,151,0,0.0,0.03925795249824565,0.03915993738688685,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-045,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,OOD,BRIDGE,EVALUATED,110.50134992620718,True,0,0,151,24,0.15894039735099338,0.04887987602575397,0.045005196414389444,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-046,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,OOD,SUSTAINABLE,EVALUATED,108.24340670868301,True,0,0,151,0,0.0,0.014896153848455199,0.014831637652304932,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-047,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,known,SUSTAINABLE,EVALUATED,112.6717173647935,True,0,0,150,0,0.0,0.020630420560028943,0.020630420560028943,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-048,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,OOD,SUSTAINABLE,EVALUATED,102.70744545509957,True,0,0,151,0,0.0,0.040412696754861456,0.03938992322114429,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-049,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,2.0,known,SUSTAINABLE,EVALUATED,117.61871731333089,True,0,0,150,0,0.0,0.015223049622815345,0.015177383257872861,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-050,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,SUSTAINABLE,EVALUATED,128.80646820684802,True,0,0,75,0,0.0,0.03501087350403868,0.03492941984197241,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-051,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,known,BRIDGE,EVALUATED,118.09403529336863,True,0,0,76,41,0.5394736842105263,0.04535995749239749,0.04527802148638802,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
R5-V-A-052,dcsv_cr_mpc,A_full_nonlinear,ramp_drop,low,4.0,OOD,SUSTAINABLE,EVALUATED,129.92302505305352,True,0,0,76,0,0.0,0.012085390267842258,0.012000858813932442,AREA0_PUBLIC_TRACE_PROXY_NO_MEASUREMENT_NOISE_REPLAY
