scenario_id,plant,mechanism,sg_tension,period_s,condition,evaluation_status,fallback_calls,surplus_active_calls,excitation_fraction,frequency_peak_hz__contract_only_rolling_mpc,frequency_peak_hz__dcsv_cr_mpc,ace_iae_pu_s__contract_only_rolling_mpc,ace_iae_pu_s__dcsv_cr_mpc,tie_rms_pu__contract_only_rolling_mpc,tie_rms_pu__dcsv_cr_mpc,physical_success__contract_only_rolling_mpc,physical_success__dcsv_cr_mpc,attribution,contract_minus_dcsv__frequency_peak_hz,contract_minus_dcsv__ace_iae_pu_s,contract_minus_dcsv__tie_rms_pu
R5-V-A-056,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.4868421052631579,0.7359217166843534,0.7334748866382291,21.79476021058987,22.1130214018729,0.02999123027102255,0.03051838410818138,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.0024468300461242265,-0.3182611912830282,-0.0005271538371588308
R5-V-A-057,A_full_nonlinear,ramp_drop,low,4.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.4666666666666667,1.8134188660977872,1.8043310475749856,32.633239383031494,31.811895408697726,0.0372709203093655,0.03570848712423732,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.009087818522801605,0.821343974333768,0.0015624331851281786
R5-V-A-058,A_full_nonlinear,ramp_drop,low,4.0,OOD,EVALUATED,0,0,0.42105263157894735,0.3947502350754753,0.3845737144281521,2.247953085496537,2.1481349695273995,0.0013298195466362752,0.001519538980468477,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,0.010176520647323217,0.09981811596913737,-0.0001897194338322018
R5-V-A-059,A_full_nonlinear,ramp_drop,low,4.0,OOD,EVALUATED,0,0,0.0,0.30359218938256743,0.3026940702351413,1.4564633410134333,1.4420982649364515,0.00448857065991196,0.004491675531428919,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.0008981191474261574,0.014365076076981786,-3.104871516958728e-06
R5-V-A-060,A_full_nonlinear,ramp_drop,high,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,4,0,0.6666666666666666,2.5307004922666234,2.6233014194671633,65.7717951451006,71.04042971288251,0.011538215710581091,0.01189110077392731,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.09260092720053992,-5.268634567781916,-0.00035288506334621786
R5-V-A-061,A_full_nonlinear,ramp_drop,high,2.0,known,EVALUATED,0,0,0.0,0.3165398510194523,0.3199177473532422,1.3554992984419214,1.3661053177302176,0.0008549579326069031,0.0012837019680887866,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.003377896333789876,-0.010606019288296187,-0.0004287440354818835
R5-V-A-062,A_full_nonlinear,ramp_drop,high,2.0,OOD,EVALUATED,0,0,0.2847682119205298,0.3931279722907509,0.3914300760968973,1.6354603941424697,1.6004584637637014,0.0011072855132483721,0.0013009374318744553,True,True,CONSERVATIVE_ONLINE_ENVELOPE_NO_SURPLUS,0.0016978961938536319,0.03500193037876831,-0.00019365191862608317
R5-V-A-063,A_full_nonlinear,ramp_drop,high,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.5894039735099338,1.7061981796900125,1.6490464357548775,32.16066571526724,32.537413004033105,0.032379289616063185,0.03195275162111205,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,0.057151743935135,-0.3767472887658627,0.00042653799495113304
R5-V-A-064,A_full_nonlinear,ramp_drop,high,2.0,known,EVALUATED,0,0,0.0,0.22267874004762844,0.21620798127000027,0.8113226204693622,0.8418940912741849,0.002580543886393403,0.003079028013754779,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.006470758777628177,-0.030571470804822698,-0.0004984841273613762
R5-V-A-065,A_full_nonlinear,ramp_drop,high,2.0,OOD,EVALUATED,0,0,0.0,0.2814572148601932,0.2619542126184741,0.9711115260471965,1.0144063367236569,0.003662918472202262,0.004513161565808045,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.01950300224171908,-0.04329481067646035,-0.0008502430936057834
R5-V-A-066,A_full_nonlinear,ramp_drop,high,2.0,OOD,EVALUATED,0,0,0.0,0.22809936861489205,0.22801053005756766,0.8158440028744474,0.8285277098542486,0.0026061084476933782,0.002806014083738647,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,8.883855732438883e-05,-0.012683706979801257,-0.00019990563604526876
R5-V-A-067,A_full_nonlinear,ramp_drop,high,2.0,OOD,EVALUATED,0,0,0.0,0.7025435756517189,0.716164806205321,3.7834267202765695,3.8076593625986295,0.005847373045417031,0.008070471251916955,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.013621230553602093,-0.024232642322060016,-0.0022230982064999245
R5-V-A-068,A_full_nonlinear,ramp_drop,high,2.0,known,PHYSICALLY_INFEASIBLE_CERTIFIED,0,0,0.6357615894039735,0.7099026954143846,0.7205304107133502,24.88059570171543,25.680231508001018,0.030619027726695572,0.03154743415132593,False,False,PHYSICAL_INFEASIBILITY_PRECLASSIFIED,-0.010627715298965668,-0.7996358062855897,-0.0009284064246303583
R5-V-A-069,A_full_nonlinear,ramp_drop,high,2.0,OOD,EVALUATED,0,0,0.0,0.6731202169940369,0.6923825419580483,3.2870918543467185,3.5250603587641063,0.008641143979134448,0.009843672421224532,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,-0.019262324964011368,-0.23796850441738782,-0.0012025284420900846
R5-V-A-070,A_full_nonlinear,ramp_drop,high,4.0,OOD,EVALUATED,0,0,0.0,0.3215392379379831,0.32111413323065824,1.7237323894421552,1.6516334951205573,0.0009637411020416771,0.0011106015020861178,True,True,INSUFFICIENT_NATURAL_EXCITATION_NO_SURPLUS,0.0004251047073248748,0.07209889432159788,-0.00014686040004444068
