scope,scenario_id,sg_level,factor,method,reference_method,metric,attempted_pair_count,both_success,method_only_failure,reference_only_failure,both_failure,method_failure_rate,reference_failure_rate,failure_rate_difference,method_safety_failure_rate,reference_safety_failure_rate,safety_failure_rate_difference,common_success_pair_count,scenario_count,method_scenario_balanced_mean,reference_scenario_balanced_mean,scenario_balanced_absolute_effect,scenario_balanced_relative_effect,absolute_ci95_low,absolute_ci95_high,relative_ci95_low,relative_ci95_high,sign_flip_pvalue,episode_ratio_mean_diagnostic_only,episode_ratio_minus_primary,failure_penalty_value,penalized_method_mean,penalized_reference_mean,penalized_relative_effect,primary_estimator
scenario,S0_nominal_stochastic,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.7550612792217509,0.008333333333333333,0.7467279458884176,89.60735350661011,,,,,1.0,18.781735232273707,-70.8256182743364,1.0213775185051843,0.7550612792217509,0.008333333333333333,89.60735350661011,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S0_nominal_stochastic,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.4716594271535755,0.008333333333333333,0.46332609382024215,55.59913125842906,,,,,1.0,11.28424894683308,-44.31488231159598,0.6387474838820253,0.4716594271535755,0.008333333333333333,55.59913125842906,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3192289007538669,0.372180605815127,-0.052951705061260124,-0.14227421911275726,,,,,1.0,-0.14180277795112206,0.00047144116163519434,0.4893785871695791,0.3192289007538669,0.372180605815127,-0.14227421911275726,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.08183946245229201,0.08215604221903429,-0.00031657976674227817,-0.0038533960277474457,,,,,1.0,-0.0038536702535384476,-2.742257910019752e-07,0.1039601056906495,0.08183946245229201,0.08215604221903429,-0.0038533960277474457,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5282462101404237,0.07066666666666666,0.45757954347375707,6.4751822189682615,,,,,1.0,6.746884090309562,0.27170187134130064,0.7109667130441278,0.5282462101404237,0.07066666666666666,6.4751822189682615,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_002,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.3366271781313409,0.05066666666666666,0.28596051146467427,5.643957463118572,,,,,1.0,6.2322263731347585,0.5882689100161862,0.4550771502953409,0.3366271781313409,0.05066666666666666,5.643957463118572,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5608655762980955,0.5688539876174493,-0.007988411319353794,-0.014042990808259834,,,,,1.0,-0.014047831790087947,-4.840981828112614e-06,0.7160421727403459,0.5608655762980955,0.5688539876174493,-0.014042990808259834,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.1650006404818041,0.1637461652316025,0.0012544752502016143,0.007661096969368932,,,,,1.0,0.007661096969368971,3.903127820947816e-17,0.2088969711639281,0.1650006404818041,0.1637461652316025,0.007661096969368932,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.560471671317727,0.079,0.481471671317727,6.094578117945911,,,,,1.0,6.106971708754671,0.01239359080875957,0.7407177410751249,0.560471671317727,0.079,6.094578117945911,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_004,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.34977250466400667,0.039,0.3107725046640067,7.968525760615556,,,,,1.0,8.037039653842184,0.06851389322662804,0.472094437838112,0.34977250466400667,0.039,7.968525760615556,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.808019871931643,0.756610530315408,0.051409341616235005,0.06794690208026051,,,,,1.0,0.07467405659794615,0.006727154517685643,1.02355833219582,0.808019871931643,0.756610530315408,0.06794690208026051,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.2496835927716626,0.2456923081735939,0.003991284598068717,0.016245053122496106,,,,,1.0,0.01624505312249611,3.469446951953614e-18,0.31486952727233597,0.2496835927716626,0.2456923081735939,0.016245053122496106,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,sg_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.5834073355448626,0.11033333333333334,0.47307400221152923,4.287679778352229,,,,,1.0,4.523276888074327,0.23559710972209835,0.7716760154529281,0.5834073355448626,0.11033333333333334,4.287679778352229,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_006,A,identified_arx_vs_exact_plant_shooting,B4,B5,ibr_mileage,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.35928874943409456,0.050333333333333334,0.3089554161007612,6.138187074849561,,,,,1.0,7.59392641126865,1.4557393364190894,0.48005550442998346,0.35928874943409456,0.050333333333333334,6.138187074849561,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,freq_iae,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,1.0548152985473331,0.9743703120369333,0.08044498651039989,0.08256099915670526,,,,,1.0,0.08316602607380073,0.0006050269170954775,1.3339657503989921,1.0548152985473331,0.9743703120369333,0.08256099915670526,scenario_balanced_paired_difference_and_ratio_of_means
scenario,S1_step_neg_008,A,identified_arx_vs_exact_plant_shooting,B4,B5,max_abs_freq_hz,30,30,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,30,1,0.33433895314888873,0.3276384511155854,0.006700502033303302,0.02045090254360736,,,,,1.0,0.020450902543607433,7.28583859910259e-17,0.4208273101518307,0.33433895314888873,0.3276384511155854,0.02045090254360736,scenario_balanced_paired_difference_and_ratio_of_means
