scenario_id,method,plant,condition,domain,evaluation_status,physical_success,hard_violation,fallback_calls,stored_cycle_rows,representative_trace,controller_failure_detail,physical_certificate_detail,trace_storage_path
I6-A-060,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-061,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-061,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-062,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-062,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-063,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-063,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-064,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-064,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-065,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-065,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-066,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-066,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-067,dcsv_mpc,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,151,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-067,fixed_allocation_pi,A_full_nonlinear,known,PHYSICALLY_INFEASIBLE,PHYSICALLY_INFEASIBLE_CERTIFIED,False,False,0,150,False,False,True,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-068,dcsv_mpc,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,150,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-068,fixed_allocation_pi,A_full_nonlinear,known,BRIDGE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-069,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-069,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,151,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-070,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-070,fixed_allocation_pi,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-071,dcsv_mpc,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-071,fixed_allocation_pi,A_full_nonlinear,OOD,BRIDGE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-072,dcsv_mpc,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,76,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-072,fixed_allocation_pi,A_full_nonlinear,OOD,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
I6-A-073,dcsv_mpc,A_full_nonlinear,known,SUSTAINABLE,EVALUATED,True,False,0,75,False,False,False,results_phase_i/I6/VALIDATION_CYCLES.parquet
