point_id,period_s,sg_tension,load_magnitude_pu,power_spread_pu,ramp_spread_pu_per_s,delay_spread_s,noise_std_pu,soc,tie_loading_pu,objective,nominal_frequency_hz
B1_ADAPT_0042,4.0,medium,0.0713773689593005,0.0316080448830323,0.0264637778202847,0.4760453293919459,0.0009020283756046,0.4051270366207241,0.0350078767522163,resource_economy,50.0
B1_ADAPT_0043,2.0,high,0.0553348844154961,8.415652644134727e-05,0.0,0.824730416980778,0.001539217938134,0.4324728539644727,0.0253890771915631,resource_economy,50.0
B1_ADAPT_0044,2.0,medium,0.0197713852361799,0.0051735152191937,0.035,1.0254335428942762,0.0018951516302477,0.5096177642257352,0.0242998225673703,resource_economy,50.0
B1_ADAPT_0045,2.0,medium,0.015,0.0218972022443216,0.0258752541320571,1.2047690582479966,0.001386423027772,0.4178937213247243,0.0276177622982906,resource_economy,50.0
B1_ADAPT_0046,2.0,low,0.0597332581854472,0.0119028569856412,0.0135179758556617,0.5413138316344203,0.0016771044785986,0.5114727323614782,0.0264742993468432,resource_economy,50.0
B1_ADAPT_0047,2.0,medium,0.015,0.0078797240128126,0.0249081304949517,1.3,0.0014900705951844,0.4417278154458482,0.0315668948720339,resource_economy,50.0
B1_ADAPT_0048,4.0,low,0.0618904379500102,0.0163018086157441,0.035,0.4417908125388663,0.0005,0.4962233701310065,0.04,resource_economy,50.0
B1_ADAPT_0049,2.0,medium,0.075,0.0167325616417449,0.0,1.0934475236147416,0.0010510603728636,0.4167168295100709,0.0388874600805504,resource_economy,50.0
B1_ADAPT_0050,4.0,low,0.0663901783659435,0.0158683260639455,0.0197512376603629,0.7203110845083744,0.0006525070535836,0.4844463190115274,0.0347551538684772,resource_economy,50.0
B1_ADAPT_0051,4.0,medium,0.052716052182465,0.0248749089370091,0.0231205935570812,0.9542620385430556,0.0012238134728775,0.5976666077950262,0.0147621451682524,resource_economy,50.0
B1_ADAPT_0052,4.0,high,0.0732440740645604,0.0240608353812028,0.0206355400789496,0.8156287444184818,0.002,0.3796401406348201,0.0155040538908252,resource_economy,50.0
B1_ADAPT_0053,2.0,medium,0.0192741491939304,0.0183406092584577,0.0054940813067087,0.6297398302214228,0.0006176979589475,0.4662424604445974,0.0277685295233749,resource_economy,50.0
B1_ADAPT_0054,2.0,low,0.0746822410493437,0.0049613662781616,0.00787939416815,0.4315725131858262,0.002,0.5515022015203804,0.0342078188440759,resource_economy,50.0
B1_ADAPT_0055,4.0,low,0.0732051430324241,0.0116846515997748,0.0202441456984675,0.9919033737955908,0.0009730330380903,0.3,0.0076649515629806,resource_economy,50.0
B1_ADAPT_0056,4.0,medium,0.075,0.0,0.0012220162760081,0.2259923827480647,0.0005,0.6647176104268561,0.04,resource_economy,50.0
B1_ADAPT_0057,4.0,medium,0.0490567301905045,0.0112145432670055,0.006816912352545,1.0244621947974542,0.0005628872833777,0.637935553921515,0.0288936254503537,resource_economy,50.0
B1_ADAPT_0058,2.0,medium,0.015,0.0046271331187198,0.0341048167664671,1.1264825190799328,0.0016140026767417,0.394665027006114,0.0370982191351924,resource_economy,50.0
B1_ADAPT_0059,4.0,low,0.0652540655150604,0.0078765820222944,0.0156004146964603,0.6621418266619455,0.000899433976118,0.3,0.0027645471391732,resource_economy,50.0
B1_ADAPT_0060,4.0,medium,0.0698527280574186,0.0320228417217966,0.0259007173884988,0.4377562544594747,0.0012676651981547,0.4434342629877892,0.0319214744125825,resource_economy,50.0
B1_ADAPT_0061,4.0,high,0.054873423100637,0.0182767531111482,0.0208939423768384,0.9541660004029422,0.0018468790711007,0.4475803519895706,0.00580039477782,resource_economy,50.0
B1_ADAPT_0062,4.0,medium,0.0733004313017719,0.0152059551577831,0.0189175813991054,0.4209886721957877,0.0010745033401277,0.502142010729101,0.0318313856000403,resource_economy,50.0
B1_ADAPT_0063,4.0,medium,0.075,0.0312464908442559,0.0,1.3,0.0019657142557634,0.490640790439822,0.0,resource_economy,50.0
B1_ADAPT_0064,4.0,high,0.075,0.035,0.0061814773741698,0.9250632534764456,0.0019211698677723,0.3188955246709721,0.0041723639115569,resource_economy,50.0
