period_s,delay_s,left_vertex_s,right_vertex_s,matrix_inf_error,bounded_state_error_inf
2.0,1.5292611111111112,1.0,1.6,0.018589917827883384,0.0021602345517737743
2.0,1.5342583333333333,1.0,1.6,0.017513161098642024,0.0020057336451411016
2.0,1.5392555555555556,1.0,1.6,0.01640070389520419,0.001851042462514732
2.0,1.5442527777777777,1.0,1.6,0.015252447782304217,0.0016962772086172222
2.0,1.54925,1.0,1.6,0.01406830694596304,0.0015415548222920668
2.0,1.5542472222222221,1.0,1.6,0.012848208343591683,0.0013869929446404328
2.0,1.5592444444444444,1.0,1.6,0.01159209185131238,0.001232709885894064
2.0,1.5642416666666668,1.0,1.6,0.010299910408312907,0.0010788245909722329
2.0,1.5692388888888888,1.0,1.6,0.008971630158039881,0.0009254566036689982
2.0,1.5742361111111112,1.0,1.6,0.007607230586033964,0.0007727260294138422
2.0,1.5792333333333333,1.0,1.6,0.006206704654195261,0.0006207534965471873
2.0,1.5842305555555556,1.0,1.6,0.0047700589312626995,0.0004696601160488525
2.0,1.5892277777777777,1.0,1.6,0.003297313719278022,0.00031956743965558303
2.0,1.594225,1.0,1.6,0.0017885031758000589,0.00017059741630011713
2.0,1.5992222222222223,1.0,1.6,0.00024367543161997463,2.2872346802525442e-05
2.0,1.6042194444444444,1.6,1.999,0.008139612218467818,0.0004903621761420486
2.0,1.6092166666666667,1.6,1.999,0.0177026283768138,0.0010663865707807767
2.0,1.6142138888888888,1.6,1.999,0.02717934246725362,0.0016371181698135598
2.0,1.6192111111111112,1.6,1.999,0.03656669063544099,0.0022023757157442567
2.0,1.6242083333333333,1.6,1.999,0.045861512952416694,0.0027619721852036906
2.0,1.6292055555555556,1.6,1.999,0.05506055032185442,0.0033157146021423477
2.0,1.6342027777777777,1.6,1.999,0.0641604412860311,0.003863403844940242
2.0,1.6392,1.6,1.999,0.07315771872723376,0.004404834447237174
2.0,1.6441972222222223,1.6,1.999,0.08204880646119617,0.004939794392279451
2.0,1.6491944444444444,1.6,1.999,0.0908300157190598,0.005468064900573305
2.0,1.6541916666666667,1.6,1.999,0.09949754151423917,0.005989420210628407
2.0,1.6591888888888888,1.6,1.999,0.10804745889044076,0.006503627352566944
2.0,1.6641861111111111,1.6,1.999,0.11647571904698639,0.007010445914368036
2.0,1.6691833333333332,1.6,1.999,0.12477814533744525,0.007509627800508295
2.0,1.6741805555555556,1.6,1.999,0.13295042913746807,0.008000916982752888
2.0,1.6791777777777777,1.6,1.999,0.1409881255775695,0.008484049242842571
2.0,1.684175,1.6,1.999,0.1488866491364773,0.008958751906814534
2.0,1.6891722222222223,1.6,1.999,0.15664126909051967,0.009424743570686164
2.0,1.6941694444444444,1.6,1.999,0.16424710481438054,0.009881733817222326
2.0,1.6991666666666667,1.6,1.999,0.17169912092840073,0.010329422923497684
2.0,1.7041638888888888,1.6,1.999,0.17899212228743477,0.010767501558955622
2.0,1.7091611111111111,1.6,1.999,0.18612074880614138,0.01119565047365731
2.0,1.7141583333333332,1.6,1.999,0.19307947011538196,0.011613540176402466
2.0,1.7191555555555555,1.6,1.999,0.19986258004426727,0.012020830602395215
2.0,1.7241527777777779,1.6,1.999,0.20646419092218105,0.012417170770115903
2.0,1.72915,1.6,1.999,0.212878227694959,0.012802198427050725
2.0,1.7341472222222223,1.6,1.999,0.21909842184918665,0.013175539683918162
2.0,1.7391444444444444,1.6,1.999,0.22511830513839992,0.013536808637020574
2.0,1.7441416666666667,1.6,1.999,0.230931203104769,0.013885606978337088
2.0,1.7491388888888888,1.6,1.999,0.23653022838963456,0.014221523592961307
2.0,1.7541361111111111,1.6,1.999,0.2419082738260558,0.014544134143474939
2.0,1.7591333333333334,1.6,1.999,0.24705800530630573,0.014853000640834951
2.0,1.7641305555555555,1.6,1.999,0.25197185441702563,0.015147671001338552
2.0,1.7691277777777779,1.6,1.999,0.2566420108345079,0.015427678589215964
2.0,1.774125,1.6,1.999,0.2610604144723421,0.015692541744386723
2.0,1.7791222222222223,1.6,1.999,0.26521874737340184,0.015941763294900067
2.0,1.7841194444444444,1.6,1.999,0.26910842533789175,0.016174830053564553
2.0,1.7891166666666667,1.6,1.999,0.2727205892789146,0.016391212298256515
2.0,1.7941138888888888,1.6,1.999,0.2760460962967269,0.01659036323537956
2.0,1.799111111111111,1.6,1.999,0.27907551046258905,0.01677171844593183
2.0,1.8041083333333334,1.6,1.999,0.28179909330279324,0.016934695313618256
2.0,1.8091055555555555,1.6,1.999,0.2842067939731821,0.017078692434429107
2.0,1.8141027777777778,1.6,1.999,0.28628823911412776,0.017203089007085597
2.0,1.8191,1.6,1.999,0.288032722375638,0.017307244203735257
2.0,1.8240972222222223,1.6,1.999,0.2894291936019143,0.01739049652025935
